评论者,推荐力度,评论时间,评论内容
犀牛,力荐,"
2005-10-28 00:28:07
                ",当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
kingfish,力荐,"
                    2006-03-22 12:38:09
                ",不需要女主角的好电影
如小果,力荐,"
                    2008-02-27 21:43:23
                ",恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
文泽尔,推荐,"
                    2008-01-14 01:53:08
                ",人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.iphope
Eve|Classified,力荐,"
                    2008-05-09 23:15:34
                ",“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。
711|湯不餓,力荐,"
                    2010-03-27 21:30:29
                ",策划了19年的私奔……
艾小柯,力荐,"
                    2006-06-20 03:18:55
                ",关于希望最强有力的注释。
赫克托尔,力荐,"
                    2007-06-06 12:22:55
                ",有种鸟是关不住的.
寂地,力荐,"
                    2006-01-02 23:57:15
                ","超级喜欢超级喜欢,不看的话人生不圆满."
理想多钱一斤啊,推荐,"
                    2009-10-07 19:58:08
                ","Hope is a good thing, and maybe the best thing of all."
影志,力荐,"
                    2006-02-04 05:58:22
                ","Fear Can Hold You Prisoner, Hope Can Set You Free"
快乐人生,推荐,"
                    2018-01-04 11:51:34
                ",不愧是好莱坞大片，一环扣一环，没想到最后不但逃生生天还偷偷把典狱长的贪污转移了出来，证据也送达了出去，帮助了曾经关心过自己的人，情节安排的巧妙，演员演绎的也好，是美国的，有爱国情节的我给打四分
Doublebitch,推荐,"
                    2007-12-24 17:50:21
                ",绝对是期待过高导致有点失望
葱,力荐,"
                    2012-05-28 22:57:42
                ",这样的男人谁会舍得背叛。。。
veronique,力荐,"
                    2006-06-15 18:56:18
                ","一部没有爱情与美女的电影,却光芒四射"
珍妮的肖像?,力荐,"
                    2006-11-13 08:41:13
                ",没有人会不喜欢吧！书和电影都好。
私享史,力荐,"
                    2005-10-08 14:35:04
                ",因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！说起来，自打高一时看过《肖申克的救赎》，男主角安迪的精神就持续影响着我，成为我价值观的一部分。那种持续不断给有关机构写信申请图书馆的精神，那种拒绝“忙着活，忙着死”的人生的精神，那种迫不得已作恶却良心不泯正义终彰的精神，那种享受生命中每一刻微小的美好的精神，那种在困境中梦想着远方有一小块属于自己乐土的精神，那种甘于平凡且活得自在的精神。一言以蔽之，那种属于“人性的光辉”的精神。
朝暮雪,力荐,"
                    2012-08-07 15:39:12
                ",“你知道，有些鸟儿是注定不会被关在牢笼里的，它们的每一片羽毛都闪耀着自由的光辉。”一部经得起时间检验的电影，豆瓣、时光网、IMDb各大电影网站都排名第一的电影。
挽梦忆笙歌,力荐,"
                    2018-01-13 11:21:05
                ",一部没有女主，没有爱情，没有特技的好片子，也是很多大学英语老师喜欢放给学生看的片子，这部片子讲诉的就是一个很纯粹的故事，一次的救赎，换回了自由，也是一种信念驱使他这么做，这部片子是感人的，它也让很多人成长。
如是,力荐,"
                    2018-03-14 11:48:26
                ",还记得老brooks上吊自杀时心里有多难过。自由来的太晚，生命早已自行放弃。
顾俏乜,推荐,"
                    2017-05-03 19:04:54
                ",通过下水道逃出去，这真的是太震撼了，不得不说男主对自由的执念克服了一切，即使待在监狱里，因为不断学习，没和外面的世界脱轨，他才能如此从容面对一切，甚至即使是在监狱这小小世界里自己也是主宰，所以说：学习很重要，学到老活到老。
小海,力荐,"
                    2010-01-28 22:52:32
                ",这部电影没什么好说的，史上最完美的电影，没有一秒尿尿时间！
美好生活,力荐,"
                    2016-11-14 23:44:21
                ",肖申克中生存体制又如当今社会体制，“痛改前非”的人一次次被重新投入黑暗之中，当权者干着肮脏的勾当却会在公众面前宣讲“拯救之道”，似乎只有当性格没有棱角，思想失去火花，被“体制化”的人们习惯逆来顺受的时候才可以平安生存
雨滋味,推荐,"
                    2018-01-31 08:46:09
                ",救赎什么？灵魂？自由？信念？你看看这部电影就有体会了
南笙,力荐,"
                    2012-01-06 23:02:43
                ",对不起，我戒酒了。
眠去,力荐,"
                    2007-02-20 10:56:01
                ",hope is a good thing
小耳朵图吗,力荐,"
                    2007-08-21 06:50:24
                ",越狱我感觉就是改编自这个
百骨金titi,推荐,"
                    2018-01-12 14:08:20
                ",真的很金典，每个人心里都有渴望不一样的自由，却又不得不被现实生活所束缚，很矛盾的个体，希望每个人能像安迪一样找到获得真正的自由。很喜欢摩根弗里曼
苏多多,力荐,"
                    2018-01-20 13:54:58
                ",这是我每年都要回顾的一部片子，每当心情低落，人生低谷的时候，或者随便什时候打开，听着摩根弗里曼低沉的声音娓娓道来故事，就会感觉好了很多。好的电影是好的人生陪伴
小易甫,还行,"
                    2008-06-08 14:49:34
                ","在我的心目中,它一直都是最被高估的电影。"
Ocap,还行,"
                    2015-06-30 22:20:52
                ",几年后，五星改成三星。
momo,推荐,"
                    2021-02-02 22:28:40
                ",其实理解不了为什么这部影片会排名第一…
乐安蓝,力荐,"
                    2008-03-02 15:00:17
                ",明修栈道，暗渡陈仓
毛利,力荐,"
                    2006-11-21 20:12:53
                ",看完让人很振奋
不良生,推荐,"
                    2016-05-18 09:30:06
                ",天下大同。PS：停留在前去相逢的车子远去的背影最好，不必拍出重遇和相拥。
雨果,力荐,"
                    2016-12-23 19:03:28
                ",好片，但是远比这部片更好的还很多，大家整天把这部电影稀奇得不行，其实同年的电影我更喜欢阿甘。
赫恩曼尼,力荐,"
                    2012-06-29 15:24:52
                ",若你试自由如生命，你愿意用20年等来一日的逃脱。
遇见彩虹?,力荐,"
                    2017-10-25 10:14:27
                ",何为救赎？只有重燃人们心中的希望才能救赎。有希望才有一切可能。即使环境再恶劣，安迪都没有放弃，坚持不懈的写信为大家换来更好的图书馆，帮助有需要的人拿到高中文凭使他们可以在社会上有生存能力，就算知道会惹怒看守也想让人们都听到美妙的歌声，点燃希望之光。有一种鸟儿是永远也关不住的。
七沐妹妹,力荐,"
                    2018-01-24 13:46:00
                ",怒赞，很难有一部电影能比《肖申克的救赎》更好的诠释梦想与救赎这两个词的关联，电影予人带来心理的洗涤震撼是如此深刻，对比安迪，我们生活中看似无以能迈不过的坎又算什么？当你若能一直心拥梦想，哪怕失败，也定能获得希望的救赎。 
yocofcjx28,力荐,"
                    2016-11-12 16:01:50
                ",太感人的电影！完整看过四遍！安迪从下水道爬出后，在水里在雨中仰天长啸时，就瞬间泪奔！
壳子,力荐,"
                    2017-01-03 10:35:31
                ",发现自己最近真的是愿意回看经典 尤其是没有女主的经典 自由与希望 多么美好的词汇 可是一个迂腐的人现在才体会到 这两个词如果一年前对我提起 那么我会表示鄙夷 会觉得这两个词太虚无缥缈 假大空 而现在 如果你向我提起 那么我会说 我爱自由和希望
橘猫爱吃鱼,力荐,"
                    2018-01-12 16:31:58
                ",这是一部关于自由、友情、正义的电影!“信念不灭，希望永存”。这其实是他们全体人的救赎，只是选择的方式不同而已。
九尾黑猫,较差,"
                    2008-03-19 00:32:02
                ",真的不喜欢，不好看，没感觉
叶荣添,较差,"
                    2011-02-21 11:07:22
                ",大众经典我从不感冒，为什么？我欣赏水平不行？
东篱,推荐,"
                    2018-01-20 18:53:42
                ",经典老电影就是不一样，重温了无数遍呢
谋杀游戏机,力荐,"
                    2009-09-11 17:32:51
                ",高中第一节心理课。“有一种鸟是关不住的，因为它们的每一片羽毛都闪耀着自由的光辉”，但后来不幸成了我的逆反宣言……哈哈哈。
铃儿响叮当,还行,"
                    2017-01-05 23:47:03
                ",好看但这么高的分有点假了吧，如果和越狱比起来，还是越狱好看些！
我不绝望,较差,"
                    2006-10-05 22:11:30
                ",有那么好吗？？？？？
老鸡｜扶立,力荐,"
                    2008-01-10 13:23:26
                ",我最喜欢的电影
波波维奇,力荐,"
                    2018-01-20 16:48:59
                ",非常好，可惜那年有阿甘正传，但我个人认为还是这部最佳。
A天涯任我行,推荐,"
                    2018-01-11 01:21:55
                ",可以说这是越狱系列影片的鼻祖，故事情节细腻紧凑，从被迫入狱，在狱中斗智斗勇，夹缝中求生存，以及对重获自由的极度渴望，凭借超高的智商和过人的勇气，一次次化险为夷，最终和狱友成功逃离，获得自由。侧面揭露的社会黑暗及腐败不堪入眼的一面，值得深思回味
毛驴哥????,力荐,"
                    2005-12-26 22:57:17
                ",不多说了
豆辛瓜辛,推荐,"
                    2018-01-10 19:59:47
                ",在这世上生存就得有一项特长，再者坚持就是胜利吧。
